Timestamp_min,Reactor_Temp_C,Jacket_Flow_Rate_L_min,Pressure_atm,Reactant_A_Conc_mol_L,Product_B_Conc_mol_L,Reactor_Run_ID
632,101,1017,2.56,0.65,1.85,4
633,101.5,1016,2.54,0.64,1.86,4
634,102,1012,2.52,0.63,1.87,4
635,102.5,1014,2.5,0.62,1.88,4
636,103,1018,2.48,0.61,1.89,4
637,103.5,1015,2.46,0.6,1.9,4
638,104,1013,2.44,0.59,1.91,4
639,104.5,1017,2.42,0.58,1.92,4
640,105,1016,2.4,0.57,1.93,4
641,105.5,1012,2.38,0.56,1.94,4
642,106,1014,2.36,0.55,1.95,4
643,106.5,1018,2.34,0.54,1.96,4
644,107,1015,2.32,0.53,1.97,4
645,107.5,1013,2.3,0.52,1.98,4
646,108,1017,2.28,0.51,1.99,4
647,108.5,1016,2.26,0.5,2,4
648,109,1012,2.24,0.49,2.01,4
649,109.5,1014,2.22,0.48,2.02,4
650,85,1015,3.2,0.48,2.02,4
651,85.5,1007,3.18,0.47,2.03,4
652,85,1019,3.22,0.46,2.04,4
653,84.5,1009,3.19,0.45,2.05,4
654,85,1012,3.21,0.44,2.06,4
655,84,1016,3.17,0.43,2.07,4
656,85.5,1002,3.23,0.42,2.08,4
657,85,1014,3.19,0.41,2.09,4
658,84.5,1006,3.21,0.4,2.1,4
659,85,1018,3.17,0.39,2.11,4
660,84,1001,3.2,0.38,2.12,4
661,85.5,1013,3.18,0.37,2.13,4
662,85,1005,3.22,0.36,2.14,4
663,84.5,1017,3.19,0.35,2.15,4
664,85,1003,3.21,0.34,2.16,4
665,84,1016,3.17,0.33,2.17,4
666,85.5,1009,3.23,0.32,2.18,4
667,85,1012,3.19,0.31,2.19,4
668,84.5,1007,3.21,0.3,2.2,4
669,85,1015,3.17,0.29,2.21,4
670,84,1004,3.2,0.28,2.22,4
671,85.5,1011,3.18,0.27,2.23,4
672,85,1008,3.22,0.26,2.24,4
673,84.5,1014,3.19,0.25,2.25,4
674,85,1006,3.21,0.24,2.26,4
675,84,1013,3.17,0.23,2.27,4
676,85.5,1002,3.23,0.22,2.28,4
677,85,1010,3.19,0.21,2.29,4
678,84.5,1009,3.21,0.2,2.3,4
679,85,1017,3.17,0.19,2.31,4
680,84,1005,3.2,0.18,2.32,4
681,85.5,1016,3.18,0.17,2.33,4
682,85,1003,3.22,0.16,2.34,4
683,84.5,1014,3.19,0.15,2.35,4
684,85,1007,3.21,0.14,2.36,4
685,84,1013,3.17,0.13,2.37,4
686,85.5,1002,3.23,0.12,2.38,4
687,85,1011,3.19,0.11,2.39,4
688,84.5,1009,3.21,0.1,2.4,4
689,85,1018,3.17,0.09,2.41,4
690,84,1006,3.2,0.08,2.42,4
691,85.5,1015,3.18,0.07,2.43,4
692,85,1004,3.22,0.06,2.44,4
693,84.5,1013,3.19,0.05,2.45,4
694,85,1008,3.21,0.04,2.46,4
695,84,1016,3.17,0.03,2.47,4
696,85.5,1002,3.23,0.02,2.48,4
697,85,1012,3.19,0.01,2.49,4
698,84.5,1009,3.21,0,2.5,4
699,85,1017,3.17,0,2.5,4
700,85,1015,3.2,2.5,0,5
701,84.5,1018,3.18,2.49,0.01,5
702,84,1013,3.22,2.48,0.02,5
703,83.5,1016,3.19,2.47,0.03,5
704,83,1011,3.21,2.46,0.04,5
705,82.5,1019,3.17,2.45,0.05,5
706,82,1014,3.23,2.44,0.06,5
707,81.5,1017,3.16,2.43,0.07,5
708,81,1012,3.24,2.42,0.08,5
709,80.5,1020,3.15,2.41,0.09,5
710,80,1015,3.25,2.4,0.1,5
711,79.5,1018,3.14,2.39,0.11,5
712,79,1013,3.26,2.38,0.12,5
713,78.5,1021,3.13,2.37,0.13,5
714,78,1016,3.27,2.36,0.14,5
715,77.5,1019,3.12,2.35,0.15,5
716,77,1014,3.28,2.34,0.16,5
717,76.5,1022,3.11,2.33,0.17,5
718,76,1017,3.29,2.32,0.18,5
719,75.5,1015,3.1,2.31,0.19,5
720,75,1023,3.3,2.3,0.2,5
721,74.5,1018,3.09,2.29,0.21,5
722,74,1024,3.31,2.28,0.22,5
723,73.5,1019,3.08,2.27,0.23,5
724,73,1025,3.32,2.26,0.24,5
725,72.5,1020,3.07,2.25,0.25,5
726,72,1026,3.33,2.24,0.26,5
727,71.5,1021,3.06,2.23,0.27,5
728,71,1027,3.34,2.22,0.28,5
729,70.5,1022,3.05,2.21,0.29,5
730,70,1028,3.35,2.2,0.3,5
731,69.5,1023,3.04,2.19,0.31,5
732,69,1029,3.36,2.18,0.32,5
733,68.5,1024,3.03,2.17,0.33,5
734,68,1030,3.37,2.16,0.34,5
735,67.5,1025,3.02,2.15,0.35,5
736,67,1031,3.38,2.14,0.36,5
737,66.5,1026,3.01,2.13,0.37,5
738,66,1032,3.39,2.12,0.38,5
739,65.5,1027,3,2.11,0.39,5
740,65,1033,3.4,2.1,0.4,5
741,64.5,1028,2.99,2.09,0.41,5
742,64,1034,3.41,2.08,0.42,5
743,63.5,1029,2.98,2.07,0.43,5
744,63,1035,3.42,2.06,0.44,5
745,62.5,1030,2.97,2.05,0.45,5
746,62,1036,3.43,2.04,0.46,5
747,61.5,1031,2.96,2.03,0.47,5
748,61,1037,3.44,2.02,0.48,5
749,60.5,1032,2.95,2.01,0.49,5
750,85,1015,3.2,2.01,0.49,5
751,84.5,1013,3.18,2,0.5,5
752,84,1016,3.19,1.99,0.51,5
753,83.5,1018,3.21,1.98,0.52,5
754,83,1014,3.2,1.97,0.53,5
755,82.5,1017,3.19,1.96,0.54,5
756,82,1019,3.22,1.95,0.55,5
757,81.5,1015,3.2,1.94,0.56,5
758,81,1018,3.18,1.93,0.57,5
759,80.5,1016,3.21,1.92,0.58,5
760,80,1014,3.19,1.91,0.59,5
761,79.5,1017,3.22,1.9,0.6,5
762,79,1015,3.2,1.89,0.61,5
763,78.5,1018,3.18,1.88,0.62,5
764,78,1016,3.21,1.87,0.63,5
765,77.5,1014,3.19,1.86,0.64,5
766,77,1017,3.22,1.85,0.65,5
767,76.5,1015,3.2,1.84,0.66,5
768,76,1018,3.18,1.83,0.67,5
769,75.5,1016,3.21,1.82,0.68,5
770,75,1014,3.19,1.81,0.69,5
771,74.5,1017,3.22,1.8,0.7,5
772,74,1015,3.2,1.79,0.71,5
773,73.5,1018,3.18,1.78,0.72,5
774,73,1016,3.21,1.77,0.73,5
775,72.5,1014,3.19,1.76,0.74,5
776,72,1017,3.22,1.75,0.75,5
777,71.5,1015,3.2,1.74,0.76,5
778,71,1018,3.18,1.73,0.77,5
779,70.5,1016,3.21,1.72,0.78,5
780,70,1014,3.19,1.71,0.79,5
781,69.5,1017,3.22,1.7,0.8,5
782,69,1015,3.2,1.69,0.81,5
783,68.5,1018,3.18,1.68,0.82,5
784,68,1016,3.21,1.67,0.83,5
785,67.5,1014,3.19,1.66,0.84,5
786,67,1017,3.22,1.65,0.85,5
787,66.5,1015,3.2,1.64,0.86,5
788,66,1018,3.18,1.63,0.87,5
789,65.5,1016,3.21,1.62,0.88,5
790,65,1014,3.19,1.61,0.89,5
791,64.5,1017,3.22,1.6,0.9,5
792,64,1015,3.2,1.59,0.91,5
793,63.5,1018,3.18,1.58,0.92,5
794,63,1016,3.21,1.57,0.93,5
795,62.5,1014,3.19,1.56,0.94,5
796,62,1017,3.22,1.55,0.95,5
797,61.5,1015,3.2,1.54,0.96,5
798,61,1018,3.18,1.53,0.97,5
799,60.5,1016,3.21,1.52,0.98,5
800,85,1015,3.2,1.52,0.98,5
801,84.5,1007,3.18,1.47,1.03,5
802,85.25,1019,3.22,1.42,1.08,5
803,84.75,1003,3.16,1.37,1.13,5
804,85.5,1011,3.24,1.32,1.18,5
805,84,999,3.12,1.27,1.23,5
806,85.75,1005,3.26,1.22,1.28,5
807,84.25,1001,3.14,1.17,1.33,5
808,85.9,1017,3.28,1.12,1.38,5
809,84.45,997,3.16,1.07,1.43,5
810,86.05,1003,3.3,1.02,1.48,5
811,84.65,1009,3.18,0.97,1.53,5
812,86.2,1015,3.32,0.92,1.58,5
813,84.85,1001,3.2,0.87,1.63,5
814,86.35,1021,3.34,0.82,1.68,5
815,85.05,997,3.22,0.77,1.73,5
816,86.5,1013,3.36,0.72,1.78,5
817,85.25,993,3.24,0.67,1.83,5
818,86.65,1009,3.38,0.62,1.87,5
819,85.45,1005,3.26,0.57,1.93,5
820,86.8,1023,3.4,0.52,1.98,5
821,85.65,991,3.28,0.47,2.03,5
822,86.95,1017,3.42,0.42,2.08,5
823,85.85,989,3.3,0.37,2.13,5
824,87.1,1025,3.44,0.32,2.18,5
825,86.05,987,3.32,0.27,2.23,5
826,87.25,1019,3.46,0.22,2.28,5
827,86.25,985,3.34,0.17,2.33,5
828,87.4,1021,3.48,0.12,2.38,5
829,86.45,983,3.36,0.07,2.43,5
830,87.55,1017,3.5,0.02,2.48,5
831,86.65,981,3.38,0,2.5,5
832,87.7,1023,3.52,0,2.5,5
833,86.85,979,3.4,0,2.5,5
834,87.85,1025,3.54,0,2.5,5
835,87.05,977,3.42,0,2.5,5
836,87.95,1027,3.56,0,2.5,5
837,87.25,975,3.44,0,2.5,5
838,88.05,1029,3.58,0,2.5,5
839,87.45,973,3.46,0,2.5,5
840,88.15,1031,3.6,0,2.5,5
841,87.65,971,3.48,0,2.5,5
842,85,1015,3.2,2.5,0,6
843,85.5,1017,3.18,2.49,0.01,6
844,86,1019,3.16,2.48,0.02,6
845,86.5,1012,3.14,2.47,0.03,6
846,87,1016,3.12,2.46,0.04,6
847,87.5,1018,3.1,2.45,0.05,6
848,88,1014,3.08,2.44,0.06,6
849,88.5,1013,3.06,2.43,0.07,6
850,89,1011,3.04,2.42,0.08,6
851,89.5,1017,3.02,2.41,0.09,6
852,90,1015,3,2.4,0.1,6
853,90.5,1019,2.98,2.39,0.11,6
854,91,1013,2.96,2.38,0.12,6
855,91.5,1017,2.94,2.37,0.13,6
856,92,1014,2.92,2.36,0.14,6
857,92.5,1016,2.9,2.35,0.15,6
858,93,1018,2.88,2.34,0.16,6
859,93.5,1012,2.86,2.33,0.17,6
860,94,1015,2.84,2.32,0.18,6
861,94.5,1019,2.82,2.31,0.19,6
862,95,1017,2.8,2.3,0.2,6
863,95.5,1014,2.78,2.29,0.21,6
864,96,1016,2.76,2.28,0.22,6
865,96.5,1013,2.74,2.27,0.23,6
866,97,1011,2.72,2.26,0.24,6
867,97.5,1017,2.7,2.25,0.25,6
868,98,1019,2.68,2.24,0.26,6
869,98.5,1015,2.66,2.23,0.27,6
870,99,1017,2.64,2.22,0.28,6
871,99.5,1013,2.62,2.21,0.29,6
872,100,1016,2.6,2.2,0.3,6
873,100.5,1014,2.58,2.19,0.31,6
874,101,1011,2.56,2.18,0.32,6
875,101.5,1017,2.54,2.17,0.33,6
876,102,1019,2.52,2.16,0.34,6
877,102.5,1015,2.5,2.15,0.35,6
878,103,1017,2.48,2.14,0.36,6
879,103.5,1013,2.46,2.13,0.37,6
880,104,1016,2.44,2.12,0.38,6
881,104.5,1014,2.42,2.11,0.39,6
882,105,1011,2.4,2.1,0.4,6
883,105.5,1017,2.38,2.09,0.41,6
884,106,1019,2.36,2.08,0.42,6
885,106.5,1015,2.34,2.07,0.43,6
886,107,1017,2.32,2.06,0.44,6
887,107.5,1013,2.3,2.05,0.45,6
888,108,1016,2.28,2.04,0.46,6
889,108.5,1014,2.26,2.03,0.47,6
890,109,1011,2.24,2.02,0.48,6
891,109.5,1017,2.22,2.01,0.49,6
892,85,1015,3.2,2.01,0.49,6
893,85.5,1013,3.18,2,0.5,6
894,85,1016,3.22,1.99,0.51,6
895,84.5,1017,3.19,1.98,0.52,6
896,85,1019,3.21,1.97,0.53,6
897,84,1018,3.17,1.96,0.54,6
898,85.5,1014,3.2,1.95,0.55,6
899,85,1016,3.18,1.94,0.56,6
900,84.5,1017,3.22,1.93,0.57,6
901,85,1019,3.19,1.92,0.58,6
902,84,1018,3.21,1.91,0.59,6
903,85.5,1014,3.17,1.9,0.6,6
904,85,1016,3.2,1.89,0.61,6
905,84.5,1017,3.18,1.88,0.62,6
906,85,1019,3.22,1.87,0.63,6
907,84,1018,3.19,1.86,0.64,6
908,85.5,1014,3.21,1.85,0.65,6
909,85,1016,3.17,1.84,0.66,6
910,84.5,1017,3.2,1.83,0.67,6
911,85,1019,3.18,1.82,0.68,6
912,84,1018,3.22,1.81,0.69,6
913,85.5,1014,3.19,1.8,0.7,6
914,85,1016,3.21,1.79,0.71,6
915,84.5,1017,3.17,1.78,0.72,6
916,85,1019,3.2,1.77,0.73,6
917,84,1018,3.18,1.76,0.74,6
918,85.5,1014,3.22,1.75,0.75,6
919,85,1016,3.19,1.74,0.76,6
920,84.5,1017,3.21,1.73,0.77,6
921,85,1019,3.17,1.72,0.78,6
922,84,1018,3.2,1.71,0.79,6
923,85.5,1014,3.18,1.7,0.8,6
924,85,1016,3.22,1.69,0.81,6
925,84.5,1017,3.19,1.68,0.82,6
926,85,1019,3.21,1.67,0.83,6
927,84,1018,3.17,1.66,0.84,6
928,85.5,1014,3.2,1.65,0.85,6
929,85,1016,3.18,1.64,0.86,6
930,84.5,1017,3.22,1.63,0.87,6
931,85,1019,3.19,1.62,0.88,6
932,84,1018,3.21,1.61,0.89,6
933,85.5,1014,3.17,1.6,0.9,6
934,85,1016,3.2,1.59,0.91,6
935,84.5,1017,3.18,1.58,0.92,6
936,85,1019,3.22,1.57,0.93,6
937,84,1018,3.19,1.56,0.94,6
938,85.5,1014,3.21,1.55,0.95,6
939,85,1016,3.17,1.54,0.96,6
940,84.5,1017,3.2,1.53,0.97,6
941,85,1019,3.18,1.52,0.98,6
942,85,1015,3.2,1.52,0.98,6
943,85.5,1011,3.18,1.47,1.03,6
944,86,1018,3.22,1.42,1.08,6
945,86.5,1016,3.19,1.37,1.13,6
946,87,1019,3.21,1.32,1.18,6
947,87.5,1017,3.17,1.27,1.23,6
948,88,1013,3.23,1.22,1.28,6
949,88.5,1015,3.16,1.17,1.33,6
950,89,1014,3.24,1.12,1.38,6
951,89.5,1012,3.18,1.07,1.43,6
952,90,1016,3.25,1.02,1.48,6
953,90.5,1018,3.19,0.97,1.53,6
954,91,1014,3.26,0.92,1.57,6
955,91.5,1017,3.18,0.87,1.63,6
956,92,1013,3.27,0.82,1.67,6
957,92.5,1015,3.19,0.77,1.73,6
958,93,1012,3.28,0.72,1.77,6
959,93.5,1014,3.18,0.67,1.83,6
960,94,1017,3.29,0.62,1.87,6
961,94.5,1013,3.18,0.57,1.93,6
962,95,1015,3.3,0.52,1.97,6
963,95.5,1012,3.18,0.47,2.03,6
964,96,1014,3.31,0.42,2.07,6
965,96.5,1017,3.18,0.37,2.13,6
966,97,1013,3.32,0.32,2.17,6
967,97.5,1015,3.18,0.27,2.23,6
968,98,1012,3.33,0.22,2.27,6
969,98.5,1014,3.18,0.17,2.33,6
970,99,1017,3.34,0.12,2.37,6
971,99.5,1013,3.18,0.07,2.43,6
972,100,1015,3.35,0.02,2.47,6
973,100.5,1012,3.18,0,2.5,6
974,101,1014,3.36,0,2.5,6
975,101.5,1017,3.18,0,2.5,6
976,102,1012,3.37,0,2.5,6
977,102.5,1014,3.18,0,2.5,6
978,103,1017,3.38,0,2.5,6
979,103.5,1012,3.18,0,2.5,6
980,104,1014,3.39,0,2.5,6
981,104.5,1017,3.18,0,2.5,6
982,105,1012,3.4,0,2.5,6
983,105.5,1014,3.18,0,2.5,6
984,106,1017,3.41,0,2.5,6
985,106.5,1012,3.18,0,2.5,6
986,107,1014,3.42,0,2.5,6
987,107.5,1017,3.18,0,2.5,6
988,108,1012,3.43,0,2.5,6
989,108.5,1014,3.18,0,2.5,6
990,109,1017,3.44,0,2.5,6
991,109.5,1012,3.18,0,2.5,6
992,85,1015,3.2,2.5,0,7
993,84.9,1013,3.18,2.49,0.01,7
994,85.1,1016,3.22,2.48,0.02,7
995,84.8,1009,3.19,2.47,0.03,7
996,85,1017,3.21,2.46,0.04,7
997,84.9,1014,3.17,2.45,0.05,7
998,85.1,1012,3.23,2.44,0.06,7
999,84.8,1008,3.16,2.43,0.07,7
1000,85,1015,3.2,2.42,0.08,7
1001,84.9,1013,3.18,2.41,0.09,7
1002,85.1,1016,3.22,2.4,0.1,7
1003,84.8,1009,3.19,2.39,0.11,7
1004,85,1017,3.21,2.38,0.12,7
1005,84.9,1014,3.17,2.37,0.13,7
1006,85.1,1012,3.23,2.36,0.14,7
1007,84.8,1008,3.16,2.35,0.15,7
1008,85,1015,3.2,2.34,0.16,7
1009,84.9,1013,3.18,2.33,0.17,7
1010,85.1,1016,3.22,2.32,0.18,7
1011,84.8,1009,3.19,2.31,0.19,7
1012,85,1017,3.21,2.3,0.2,7
1013,84.9,1014,3.17,2.29,0.21,7
1014,85.1,1012,3.23,2.28,0.22,7
1015,84.8,1008,3.16,2.27,0.23,7
1016,85,1015,3.2,2.26,0.24,7
1017,84.9,1013,3.18,2.25,0.25,7
1018,85.1,1016,3.22,2.24,0.26,7
1019,84.8,1009,3.19,2.23,0.27,7
1020,85,1017,3.21,2.22,0.28,7
1021,84.9,1014,3.17,2.21,0.29,7
1022,85.1,1012,3.23,2.2,0.3,7
1023,84.8,1008,3.16,2.19,0.31,7
1024,85,1015,3.2,2.18,0.32,7
1025,84.9,1013,3.18,2.17,0.33,7
1026,85.1,1016,3.22,2.16,0.34,7
1027,84.8,1009,3.19,2.15,0.35,7
1028,85,1017,3.21,2.14,0.36,7
1029,84.9,1014,3.17,2.13,0.37,7
1030,85.1,1012,3.23,2.12,0.38,7
1031,84.8,1008,3.16,2.11,0.39,7
1032,85,1015,3.2,2.1,0.4,7
1033,84.9,1013,3.18,2.09,0.41,7
1034,85.1,1016,3.22,2.08,0.42,7
1035,84.8,1009,3.19,2.07,0.43,7
1036,85,1017,3.21,2.06,0.44,7
1037,84.9,1014,3.17,2.05,0.45,7
1038,85.1,1012,3.23,2.04,0.46,7
1039,84.8,1008,3.16,2.03,0.47,7
1040,85,1015,3.2,2.02,0.48,7
1041,84.9,1013,3.18,2.01,0.49,7
1042,85,1015,3.2,2.01,0.49,7
1043,85.5,1007,3.18,2,0.5,7
1044,85,1012,3.19,1.99,0.51,7
1045,84.5,1019,3.21,1.98,0.52,7
1046,85,1005,3.2,1.97,0.53,7
1047,84,1011,3.17,1.96,0.54,7
1048,85.5,1002,3.22,1.95,0.55,7
1049,85,1018,3.19,1.94,0.56,7
1050,84.5,1009,3.2,1.93,0.57,7
1051,85,1015,3.18,1.92,0.58,7
1052,84,1006,3.21,1.91,0.59,7
1053,85.5,1012,3.17,1.9,0.6,7
1054,85,1003,3.22,1.89,0.61,7
1055,84.5,1019,3.19,1.88,0.62,7
1056,85,1007,3.2,1.87,0.63,7
1057,84,1015,3.18,1.86,0.64,7
1058,85.5,1009,3.21,1.85,0.65,7
1059,85,1016,3.17,1.84,0.66,7
1060,84.5,1002,3.22,1.83,0.67,7
1061,85,1013,3.19,1.82,0.68,7
1062,84,1008,3.2,1.81,0.69,7
1063,85.5,1010,3.18,1.8,0.7,7
1064,85,1005,3.21,1.79,0.71,7
1065,84.5,1017,3.17,1.78,0.72,7
1066,85,1001,3.22,1.77,0.73,7
1067,84,1014,3.19,1.76,0.74,7
1068,85.5,1006,3.2,1.75,0.75,7
1069,85,1011,3.18,1.74,0.76,7
1070,84.5,1003,3.21,1.73,0.77,7
1071,85,1018,3.17,1.72,0.78,7
1072,84,1009,3.22,1.71,0.79,7
1073,85.5,1015,3.19,1.7,0.8,7
1074,85,1007,3.2,1.69,0.81,7
1075,84.5,1012,3.18,1.68,0.82,7
1076,85,1004,3.21,1.67,0.83,7
1077,84,1019,3.17,1.66,0.84,7
1078,85.5,1006,3.22,1.65,0.85,7
1079,85,1013,3.19,1.64,0.86,7
1080,84.5,1001,3.2,1.63,0.87,7
1081,85,1010,3.18,1.62,0.88,7
1082,84,1008,3.21,1.61,0.89,7
1083,85.5,1016,3.17,1.6,0.9,7
1084,85,1005,3.22,1.59,0.91,7
1085,84.5,1013,3.19,1.58,0.92,7
1086,85,1002,3.2,1.57,0.93,7
1087,84,1010,3.18,1.56,0.94,7
1088,85.5,1009,3.21,1.55,0.95,7
1089,85,1017,3.17,1.54,0.96,7
1090,84.5,1006,3.22,1.53,0.97,7
1091,85,1014,3.19,1.52,0.98,7
1092,85,1015,3.2,1.52,0.98,7
1093,85.5,1015,3.18,1.47,1.03,7
1094,86,1015,3.16,1.42,1.08,7
1095,86.5,1015,3.14,1.37,1.13,7
1096,87,1015,3.12,1.32,1.18,7
1097,87.5,1015,3.1,1.27,1.23,7
1098,88,1015,3.08,1.22,1.28,7
1099,88.5,1015,3.06,1.17,1.33,7
1100,89,1015,3.04,1.12,1.38,7
1101,89.5,1015,3.02,1.07,1.43,7
1102,90,1015,3,1.02,1.48,7
1103,90.5,1015,2.98,0.97,1.53,7
1104,91,1015,2.96,0.92,1.58,7
1105,91.5,1015,2.94,0.87,1.63,7
1106,92,1015,2.92,0.82,1.68,7
1107,92.5,1015,2.9,0.77,1.73,7
1108,93,1015,2.88,0.72,1.78,7
1109,93.5,1015,2.86,0.67,1.83,7
1110,94,1015,2.84,0.62,1.88,7
1111,94.5,1015,2.82,0.57,1.93,7
1112,95,1015,2.8,0.52,1.98,7
1113,95.5,1015,2.78,0.47,2.03,7
1114,96,1015,2.76,0.42,2.08,7
1115,96.5,1015,2.74,0.37,2.13,7
1116,97,1015,2.72,0.32,2.18,7
1117,97.5,1015,2.7,0.27,2.23,7
1118,98,1015,2.68,0.22,2.28,7
1119,98.5,1015,2.66,0.17,2.33,7
1120,99,1015,2.64,0.12,2.38,7
1121,99.5,1015,2.62,0.07,2.43,7
1122,100,1015,2.6,0.02,2.48,7
1123,100.5,1015,2.58,0,2.5,7
1124,101,1015,2.56,0,2.5,7
1125,101.5,1015,2.54,0,2.5,7
1126,102,1015,2.52,0,2.5,7
1127,102.5,1015,2.5,0,2.5,7
1128,103,1015,2.48,0,2.5,7
1129,103.5,1015,2.46,0,2.5,7
1130,104,1015,2.44,0,2.5,7
1131,104.5,1015,2.42,0,2.5,7
1132,105,1015,2.4,0,2.5,7
1133,105.5,1015,2.38,0,2.5,7
1134,106,1015,2.36,0,2.5,7
1135,106.5,1015,2.34,0,2.5,7
1136,107,1015,2.32,0,2.5,7
1137,107.5,1015,2.3,0,2.5,7
1138,108,1015,2.28,0,2.5,7
1139,108.5,1015,2.26,0,2.5,7
1140,109,1015,2.24,0,2.5,7
1141,110,1015,2.22,0,2.5,7
1142,85,1015,3.2,2.5,0,8
1143,85.5,1011,3.18,2.49,0.01,8
1144,85,1017,3.22,2.48,0.02,8
1145,84.5,1013,3.19,2.47,0.03,8
1146,85,1016,3.21,2.46,0.04,8
1147,84,1019,3.17,2.45,0.05,8
1148,84.5,1012,3.2,2.44,0.06,8
1149,85,1018,3.18,2.43,0.07,8
1150,84,1015,3.21,2.42,0.08,8
1151,84.5,1011,3.19,2.41,0.09,8
1152,85,1017,3.2,2.4,0.1,8
1153,84.5,1013,3.18,2.39,0.11,8
1154,85,1016,3.22,2.38,0.12,8
1155,85.5,1012,3.19,2.37,0.13,8
1156,85,1018,3.21,2.36,0.14,8
1157,84.5,1015,3.17,2.35,0.15,8
1158,85,1011,3.2,2.34,0.16,8
1159,84,1017,3.18,2.33,0.17,8
1160,84.5,1013,3.22,2.32,0.18,8
1161,85,1016,3.19,2.31,0.19,8
1162,84.5,1012,3.21,2.3,0.2,8
1163,85,1018,3.17,2.29,0.21,8
1164,84,1015,3.2,2.28,0.22,8
1165,84.5,1011,3.18,2.27,0.23,8
1166,85,1017,3.22,2.26,0.24,8
1167,84.5,1013,3.19,2.25,0.25,8
1168,85,1016,3.21,2.24,0.26,8
1169,84.5,1012,3.17,2.23,0.27,8
1170,85,1018,3.2,2.22,0.28,8
1171,84,1015,3.18,2.21,0.29,8
1172,84.5,1011,3.22,2.2,0.3,8
1173,85,1017,3.19,2.19,0.31,8
1174,84.5,1013,3.21,2.18,0.32,8
1175,85,1016,3.17,2.17,0.33,8
1176,84.5,1012,3.2,2.16,0.34,8
1177,85,1018,3.18,2.15,0.35,8
1178,84,1015,3.22,2.14,0.36,8
1179,84.5,1011,3.19,2.13,0.37,8
1180,85,1017,3.21,2.12,0.38,8
1181,84.5,1013,3.17,2.11,0.39,8
1182,85,1016,3.2,2.1,0.4,8
1183,84.5,1012,3.18,2.09,0.41,8
1184,85,1018,3.22,2.08,0.42,8
1185,84,1015,3.19,2.07,0.43,8
1186,84.5,1011,3.21,2.06,0.44,8
1187,85,1017,3.17,2.05,0.45,8
1188,84.5,1013,3.2,2.04,0.46,8
1189,85,1016,3.18,2.03,0.47,8
1190,84.5,1012,3.22,2.02,0.48,8
1191,85,1018,3.19,2.01,0.49,8
1192,85,1015,3.2,2.01,0.49,8
1193,85.5,1017,3.18,2,0.5,8
1194,86,1013,3.22,1.99,0.51,8
1195,86.5,1014,3.19,1.98,0.52,8
1196,87,1016,3.21,1.97,0.53,8
1197,87.5,1018,3.17,1.96,0.54,8
1198,88,1019,3.23,1.95,0.55,8
1199,88.5,1012,3.16,1.94,0.56,8
1200,89,1015,3.24,1.93,0.57,8
1201,89.5,1013,3.15,1.92,0.58,8
1202,90,1017,3.26,1.91,0.59,8
1203,90.5,1019,3.14,1.9,0.6,8
1204,91,1016,3.27,1.89,0.61,8
1205,91.5,1014,3.13,1.88,0.62,8
1206,92,1018,3.28,1.87,0.63,8
1207,92.5,1015,3.12,1.86,0.64,8
1208,93,1017,3.29,1.85,0.65,8
1209,93.5,1013,3.11,1.84,0.66,8
1210,94,1019,3.3,1.83,0.67,8
1211,94.5,1016,3.1,1.82,0.68,8
1212,95,1014,3.31,1.81,0.69,8
1213,95.5,1018,3.09,1.8,0.7,8
1214,96,1015,3.32,1.79,0.71,8
1215,96.5,1013,3.08,1.78,0.72,8
1216,97,1017,3.33,1.77,0.73,8
1217,97.5,1014,3.07,1.76,0.74,8
1218,98,1019,3.34,1.75,0.75,8
1219,98.5,1016,3.06,1.74,0.76,8
1220,99,1013,3.35,1.73,0.77,8
1221,99.5,1017,3.05,1.72,0.78,8
1222,100,1014,3.36,1.71,0.79,8
1223,100.5,1019,3.04,1.7,0.8,8
1224,101,1016,3.37,1.69,0.81,8
1225,101.5,1013,3.03,1.68,0.82,8
1226,102,1017,3.38,1.67,0.83,8
1227,102.5,1014,3.02,1.66,0.84,8
1228,103,1019,3.39,1.65,0.85,8
1229,103.5,1016,3.01,1.64,0.86,8
1230,104,1013,3.4,1.63,0.87,8
1231,104.5,1017,3,1.62,0.88,8
1232,105,1014,3.41,1.61,0.89,8
1233,105.5,1019,2.99,1.6,0.9,8
1234,106,1016,3.42,1.59,0.91,8
1235,106.5,1013,2.98,1.58,0.92,8
1236,107,1017,3.43,1.57,0.93,8
1237,107.5,1014,2.97,1.56,0.94,8
1238,108,1019,3.44,1.55,0.95,8
1239,108.5,1016,2.96,1.54,0.96,8
1240,109,1013,3.45,1.53,0.97,8
1241,109.5,1017,2.95,1.52,0.98,8
1242,85,1015,3.2,1.52,0.98,8
1243,84.5,1007,3.18,1.47,1.03,8
1244,85,1012,3.22,1.42,1.08,8
1245,85.5,1019,3.19,1.37,1.13,8
1246,84,1002,3.21,1.32,1.18,8
1247,84.5,1010,3.17,1.27,1.23,8
1248,85,1006,3.23,1.22,1.28,8
1249,85.5,1014,3.16,1.17,1.33,8
1250,84,1009,3.24,1.12,1.38,8
1251,84.5,1017,3.19,1.07,1.43,8
1252,85,1003,3.22,1.02,1.48,8
1253,85.5,1011,3.15,0.97,1.53,8
1254,84,1008,3.26,0.92,1.57,8
1255,84.5,1016,3.18,0.87,1.63,8
1256,85,1000,3.29,0.82,1.68,8
1257,85.5,1013,3.14,0.77,1.73,8
